id,titulo,autor,tematica,idioma,num_palabras,fuente,recolector,hash_texto,texto
dayan_garcia_0001,El Rey Rana o Enrique el Férreo,Hermanos Grimm,princesas_y_castillos,es,159,Rincon Castellano,dayan_garcia,054f86408b5c98276d6f566d1cdfd0221df1f00e,"En tiempos antiguos, cuando los deseos todavía servían para algo, vivía un rey cuyas hijas eran todas hermosas, pero la menor era tan bella que hasta el sol, que ha visto tantas cosas, se maravillaba cada vez que alumbraba su rostro. Cerca del castillo del rey había un gran bosque sombrío, y en el bosque, bajo un viejo tilo, había un pozo. Cuando el día estaba caluroso, la hija del rey iba al bosque y se sentaba al borde del pozo fresco. Y cuando se aburría, tomaba una pelota de oro, la lanzaba al aire y la atrapaba; aquel era su juguete favorito. Sucedió un día que la pelota de oro no cayó en la mano de la princesa, sino que rodó por el suelo y fue a parar directamente al agua del pozo. La princesa la siguió con la mirada, pero el pozo era profundo, tan profundo que no se veía el fondo. Entonces empezó a llorar amargamente"
dayan_garcia_0002,Blancanieves,Hermanos Grimm,princesas_y_castillos,es,158,Rincon Castellano,dayan_garcia,f38f601c19f57b8f2a1ca94b43fc7cbbc25468c1,"Había una vez una niña muy bonita, una pequeña princesa que tenía un cutis blanco como la nieve, labios rojos como la sangre y cabellos negros como el ébano. La llamaban Blancanieves. Por desgracia, su madre murió al nacer ella y, al cabo de un tiempo, su padre se casó con otra mujer. Esta nueva reina era muy hermosa, pero también muy soberbia y orgullosa, y no soportaba que nadie la superara en belleza. Poseía un espejo mágico y todos los días le preguntaba: 'Espejito, espejito, ¿quién es la más hermosa de este reino?'. El espejo siempre respondía que ella, hasta que un día contestó que Blancanieves era ahora la más bella. Llena de envidia y furia, la reina ordenó a un cazador que llevara a la niña al bosque y la matara, pero el cazador, conmovido por la bondad de la pequeña, le permitió huir, dando inicio así a su gran aventura junto a los siete enanitos."
dayan_garcia_0003,Rapunzel (Verdezuela),Hermanos Grimm,princesas_y_castillos,es,1276,Rincon Castellano,dayan_garcia,af6c698f09f97370ec16875b8da4972b277b8154,"Había una vez un hombre y una mujer que vivían solos y desconsolados por no tener hijos, hasta que, por fin, la mujer concibió la esperanza de que Dios Nuestro Señor se disponía a satisfacer su anhelo. La casa en que vivían tenía en la pared trasera una ventanita que daba a un magnífico jardín, en el que crecían espléndidas flores y plantas; pero estaba rodeado de un alto muro y nadie osaba entrar en él, ya que pertenecía a una bruja muy poderosa y temida de todo el mundo.

Un día asomóse la mujer a aquella ventana a contemplar el jardín, y vio un bancal plantado de hermosísimas verdezuelas, tan frescas y verdes, que despertaron en ella un violento antojo de comerlas.

El antojo fue en aumento cada día que pasaba, y como la mujer lo creía irrealizable, iba perdiendo la color y desmirriándose, a ojos vistas. Viéndola tan desmejorada, le preguntó asustado su marido: - ¿Qué te ocurre, mujer?

- ¡Ay! -exclamó ella-, me moriré si no puedo comer las verdezuelas del jardín que hay detrás de nuestra casa.

El hombre, que quería mucho a su esposa, pensó: «Antes que dejarla morir conseguiré las verdezuelas, cueste lo que cueste». Y, al anochecer, saltó el muro del jardín de la bruja, arrancó precipitadamente un puñado de verdezuelas y las llevó a su mujer. Ésta se preparó enseguida una ensalada y se la comió muy a gusto; y tanto le gustaron, que, al día siguiente, su afán era tres veces más intenso. Si quería gozar de paz, el marido debía saltar nuevamente al jardín. Y así lo hizo, al anochecer. Pero apenas había puesto los pies en el suelo, tuvo un terrible sobresalto, pues vio surgir ante sí la bruja.

- ¿Cómo te atreves -díjole ésta con mirada iracunda- a entrar cual un ladrón en mi jardín y robarme las verdezuelas? Lo pagarás muy caro.

- ¡Ay! -respondió el hombre-, tened compasión de mí. Si lo he hecho, ha sido por una gran necesidad: mi esposa vio desde la ventana vuestras verdezuelas y sintió un antojo tan grande de comerlas, que si no las tuviera se moriría.

La hechicera se dejó ablandar y le dijo: - Si es como dices, te dejaré coger cuantas verdezuelas quieras, con una sola condición: tienes que darme el hijo que os nazca. Estará bien y lo cuidaré como una madre.

Tan apurado estaba el hombre, que se avino a todo y, cuando nació el hijo, que era una niña, presentóse la bruja y, después de ponerle el nombre de Verdezuela, se la llevó.

Verdezuela era la niña más hermosa que viera el sol. Cuando cumplió los doce años, la hechicera la encerró en una torre que se alzaba en medio de un bosque y no tenía puertas ni escaleras; únicamente en lo alto había una diminuta ventana. Cuando la bruja quería entrar, colocábase al pie y gritaba:

«¡Verdezuela, Verdezuela,
suéltame tu cabellera!».

Verdezuela tenía un cabello magnífico y larguísimo, fino como hebras de oro. Cuando oía la voz de la hechicera se soltaba las trenzas, las envolvía en torno a un gancho de la ventana y las dejaba colgantes: y como tenían veinte varas de longitud, la bruja trepaba por ellas.

Al cabo de algunos años, sucedió que el hijo del Rey, encontrándose en el bosque, acertó a pasar junto a la torre y oyó un canto tan melodioso, que hubo de detenerse a escucharlo. Era Verdezuela, que entretenía su soledad lanzando al aire su dulcísima voz. El príncipe quiso subir hasta ella y buscó la puerta de la torre, pero, no encontrando ninguna, se volvió a palacio. No obstante, aquel canto lo había arrobado de tal modo, que todos los días iba al bosque a escucharlo. Hallándose una vez oculto detrás de un árbol, vio que se acercaba la hechicera, y la oyó que gritaba, dirigiéndose a o alto.

«¡Verdezuela, Verdezuela,
suéltame tu cabellera!».

Verdezuela soltó sus trenzas, y la bruja se encaramó a lo alto de la torre.

- Si ésta es la escalera para subir hasta allí -se dijo el príncipe-, también yo probaré fortuna.

Y al día siguiente, cuando ya comenzaba a oscurecer, encaminóse al pie de la torre y dijo:

«¡Verdezuela, Verdezuela,
suéltame tu cabellera!».

Enseguida descendió la trenza, y el príncipe subió.

En el primer momento, Verdezuela se asustó mucho al ver un hombre, pues jamás sus ojos habían visto ninguno. Pero el príncipe le dirigió la palabra con gran afabilidad y le explicó que su canto había impresionado de tal manera su corazón, que ya no había gozado de un momento de paz hasta hallar la manera de subir a verla. Al escucharlo perdió Verdezuela el miedo, y cuando él le preguntó si lo quería por esposo, viendo la muchacha que era joven y apuesto, pensó, «Me querrá más que la vieja», y le respondió, poniendo la mano en la suya: - Sí; mucho deseo irme contigo; pero no sé cómo bajar de aquí. Cada vez que vengas, tráete una madeja de seda; con ellas trenzaré una escalera y, cuando esté terminada, bajaré y tú me llevarás en tu caballo.

Convinieron en que hasta entonces el príncipe acudiría todas las noches, ya que de día iba la vieja. La hechicera nada sospechaba, hasta que un día Verdezuela le preguntó: - Decidme, tía Gothel, ¿cómo es que me cuesta mucho más subiros a vos que al príncipe, que está arriba en un santiamén?

- ¡Ah, malvada! -exclamó la bruja-, ¿qué es lo que oigo? Pensé que te había aislado de todo el mundo, y, sin embargo, me has engañado.

Y, furiosa, cogió las hermosas trenzas de Verdezuela, les dio unas vueltas alrededor de su mano izquierda y, empujando unas tijeras con la derecha, zis, zas, en un abrir y cerrar de ojos se las cortó, y tiró al suelo la espléndida cabellera. Y fue tan despiadada, que condujo a la pobre Verdezuela a un lugar desierto, condenándola a una vida de desolación y miseria.

El mismo día en que se había llevado a la muchacha, la bruja ató las trenzas cortadas al gancho de la ventana, y cuando se presentó el príncipe y dijo:

«¡Verdezuela, Verdezuela,
suéltame tu cabellera!»

la bruja las soltó, y por ellas subió el hijo del Rey. Pero en vez de encontrar a su adorada Verdezuela hallóse cara a cara con la hechicera, que lo miraba con ojos malignos y perversos: - ¡Ajá! -exclamó en tono de burla-, querías llevarte a la niña bonita; pero el pajarillo ya no está en el nido ni volverá a cantar. El gato lo ha cazado, y también a ti te sacará los ojos. Verdezuela está perdida para ti; jamás volverás a verla.

El príncipe, fuera de sí de dolor y desesperación, se arrojó desde lo alto de la torre. Salvó la vida, pero los espinos sobre los que fue a caer se le clavaron en los ojos, y el infeliz hubo de vagar errante por el bosque, ciego, alimentándose de raíces y bayas y llorando sin cesar la pérdida de su amada mujercita. Y así anduvo sin rumbo por espacio de varios años, mísero y triste, hasta que, al fin, llegó al desierto en que vivía Verdezuela con los dos hijitos gemelos, un niño y una niña, a los que había dado a luz. Oyó el príncipe una voz que le pareció conocida y, al acercarse, reconociólo Verdezuela y se le echó al cuello llorando. Dos de sus lágrimas le humedecieron los ojos, y en el mismo momento se le aclararon, volviendo a ver como antes. Llevóla a su reino, donde fue recibido con gran alegría, y vivieron muchos años contentos y felices."
dayan_garcia_0004,Cenicienta,Hermanos Grimm,princesas_y_castillos,es,341,Rincon Castellano,dayan_garcia,ae96fbeef6e1253f5fa8ad352e43362fdeb4dac9,"Un hombre rico tenía a su esposa enferma y, sintiendo que su fin estaba cerca, llamó a su única hija y le dijo: ""Sé siempre buena y piadosa, y Dios te ayudará desde el cielo"". Poco después cerró los ojos y falleció. Al año siguiente, el padre se casó con otra mujer que trajo consigo a dos hijas de rostros hermosos pero de corazones duros y negros. A partir de ese momento empezaron los malos tiempos para la pobre huérfana. Le quitaron sus vestidos hermosos y la obligaron a trabajar desde el amanecer hasta el anochecer en la cocina, cocinando y limpiando. Como terminaba tan cansada y cubierta de polvo y cenizas, la llamaban Cenicienta.

Sucedió que el rey de aquel país organizó una gran fiesta que duraría tres días, invitando a todas las jóvenes hermosas del reino para que su hijo, el príncipe, eligiera una esposa. Las dos hermanastras se prepararon con gran entusiasmo, obligando a Cenicienta a peinarlas y arreglarlas. Cenicienta rogó a su madrastra que la dejara ir, pero esta se burló de ella diciendo que alguien tan sucia y sin vestidos no podía presentarse en un palacio real.

Cuando todos se marcharon, Cenicienta fue a la tumba de su madre bajo un avellano y lloró. Un pajarillo blanco que vivía en el árbol le arrojó un vestido tejido en oro y plata y unos zapatos de seda. Se vistió a toda prisa y corrió al palacio real. Al llegar, el príncipe quedó deslumbrado por su belleza y bailó con ella toda la noche, negándose a bailar con nadie más. Al terminar la fiesta, ella escapó para no ser descubierta. Al tercer día, al huir por las escaleras del castillo, su zapato izquierdo de oro se quedó atrapado en los escalones. El príncipe proclamó que se casaría con la joven cuyo pie encajara perfectamente en el zapato. Tras probarlo en todo el reino, llegó a la casa de Cenicienta, el zapato encajó a la perfección y el príncipe la llevó a su castillo para casarse y gobernar juntos."
dayan_garcia_0005,La Bella Durmiente,Hermanos Grimm,princesas_y_castillos,es,301,Rincon Castellano,dayan_garcia,b8a826da7d8ccb1d321ce88437dbeeef7d1a3f29,"Había una vez un joven a quien todos llamaban el Tontuelo. Tenía dos hermanos mayores que eran considerados inteligentes, pero egoístas. Un día, el hermano mayor fue al bosque a cortar leña y su madre le dio un pastel y una botella de vino. En el camino se encontró con un hombrecillo gris que le pidió un poco de comida, pero el hermano lo rechazó de mala gana. Lo mismo ocurrió con el segundo hermano. Ambos sufrieron accidentes cortando leña como castigo a su egoísmo.

Llegado el turno del Tontuelo, compartió de buen corazón su humilde pan y agua con el hombrecillo. En recompensa, el anciano le dijo: ""Corta ese viejo árbol y encontrarás algo en sus raíces"". Al derribarlo, el Tontuelo encontró una oca con las plumas de oro puro. Lleno de alegría, se llevó al ave a una posada. La hija del posadero, codiciosa, intentó arrancar una pluma de oro mientras el joven dormía, pero sus dedos se quedaron mágicamente pegados a la oca. Su hermana acudió a ayudarla y también se quedó pegada. Una tercera hermana corrió hacia ellas y sufrió el mismo destino.

A la mañana siguiente, el Tontuelo tomó su oca bajo el brazo y se marchó, importándole poco las tres muchachas que colgaban en fila detrás. En el camino, un cura, un sacristán y dos campesinos intentaron separarlas, quedando todos pegados en una divertida procesión. Llegaron así a la ciudad del rey, cuya hija padecía de una tristeza tan profunda que nadie lograba hacerla sonreír; el rey había prometido la mano de la princesa a quien la hiciera reír. Al ver la ridícula fila india pegada a la oca, la princesa soltó una carcajada enorme. El Tontuelo reclamó su derecho y, tras cumplir unas pruebas reales, se casó con la princesa en el palacio real."
dayan_garcia_0006,Rapunzel (Variante alternativa corta),Hermanos Grimm,princesas_y_castillos,es,235,Rincon Castellano,dayan_garcia,169794f4f6e767b7b96b51640d6cc8bf55da551e,"Un modesto sastrecillo trabajaba en su taller cuando, molesto por unas moscas, tomó un trozo de tela y les dio un golpe, matando a siete de ellas. Sorprendido de su propia hazaña, exclamó: ""¡Siete de un golpe! El mundo entero debe saberlo"". Se fabricó un cinturón que decía en letras grandes: ""Siete de un golpe"", y salió a recorrer el mundo en busca de fortuna y aventuras en tierras lejanas.

En su camino llegó al palacio de un poderoso rey. Los soldados de la corte real, al leer su cinturón, pensaron que se trataba de un guerrero formidable capaz de vencer a siete hombres armados a la vez. Informaron al rey, quien mandó llamar al sastrecillo y le ofreció la mano de su hermosa hija, la princesa, y la mitad de su reino si lograba librar al país de dos gigantes terribles que aterrorizaban los bosques cercanos.

El astuto sastrecillo aceptó la misión real. Utilizando su ingenio en lugar de la fuerza bruta, hizo que los dos gigantes pelearan entre ellos lanzándoles piedras en secreto mientras dormían bajo un árbol, hasta que se eliminaron mutuamente. Luego capturó a un unicornio salvaje y a un feroz jabalí usando trampas inteligentes. Al ver cumplidas todas las misiones, el rey no tuvo más remedio que cumplir su promesa de honor, y el sastrecillo se casó con la princesa, convirtiéndose en el gobernante de un hermoso y seguro castillo."
dayan_garcia_0007,Rumpelstiltskin (El enano saltarín),Hermanos Grimm,princesas_y_castillos,es,409,Rincon Castellano,dayan_garcia,d433d48a62809b964b23473ca8f20913cb94b8e0,"Había una vez un rey que estaba muy enfermo y nadie creía que pudiera salvarse. Sus tres hijos, muy tristes, bajaron al jardín del palacio real a llorar. Allí se encontraron con un anciano que les dijo: ""Conozco un remedio: el agua de vida. Si el rey la bebe, sanará; pero es muy difícil de encontrar"". El hermano mayor pidió permiso al rey para ir a buscarla, pensando en ganarse el favor de su padre y heredar todo el reino. Al poco tiempo de cabalgar, se topó con un gnomo que le preguntó a dónde iba con tanta prisa. El príncipe, soberbio, le gritó: ""¡Quítate de mi camino, enano presumido!"", y continuó. El gnomo, enfurecido, le echó una maldición que hizo que su camino se estrechara en una montaña hasta dejarlo atrapado sin poder moverse.

Al ver que no regresaba, el segundo hermano emprendió el viaje con la misma ambición egoísta. Encontró al gnomo, lo trató con el mismo desprecio y sufrió idéntico castigo, quedando atrapado en otra grieta de la montaña. Finalmente, el hermano menor, que era de buen corazón, partió en busca del agua. Al encontrarse con el gnomo, se detuvo amablemente y le explicó la situación. El gnomo, complacido por su cortesía, le indicó que el agua de vida brotaba de una fuente en el patio de un magnífico castillo encantado. Le dio una vara de hierro para abrir las puertas de metal del palacio real y dos hogazas de pan para calmar a los feroces leones que custodiaban la entrada.

El joven príncipe llegó al castillo mágico, calmó a los leones con el pan y abrió las grandes puertas con la vara. Dentro del palacio real, encontró una sala donde dormía una hermosa princesa encantada. Al verlo, la princesa despertó feliz, lo besó y le dijo que él la había liberado del hechizo. Prometió casarse con él y entregarle todo su reino si regresaba al año siguiente. El príncipe tomó el agua de vida justo antes de que el reloj del castillo diera las doce. En su viaje de regreso, usó la vara mágica para salvar a reinos vecinos de la guerra y el hambre, y pidió al gnomo que liberara a sus dos hermanos mayores. Aunque los hermanos intentaron traicionarlo robándole el agua verdadera en el barco, el príncipe menor demostró su inocencia, salvó a su padre y, al cumplirse el año, regresó triunfal al castillo de la princesa para casarse y gobernar juntos."
dayan_garcia_0008,La reina de las abejas,Hermanos Grimm,princesas_y_castillos,es,342,Rincon Castellano,dayan_garcia,ddc54e54af2761a0694043f87fe9cfdb59230336,"Había una vez una hechicera que tenía tres hijos que se amaban entrañablemente, pero ella no confiaba en ellos y pensaba que querían arrebatarle su poder. Por eso, transformó al mayor en un águila marina y al segundo en un ballena, obligándolos a vivir en los confines de la naturaleza. El tercer hermano, temiendo correr la misma suerte, huyó en secreto en busca de una forma de romper el maleficio. Escuchó rumores sobre el misterioso Castillo del Sol, donde se encontraba una hermosa princesa atrapada esperando a que un héroe valiente la rescatara; sin embargo, muchos caballeros habían perdido la vida intentando romper el cerco mágico del castillo.

El joven caminó durante días hasta que llegó a un bosque sagrado, donde dos gigantes peleaban por la posesión de un sombrero mágico que tenía el poder de teletransportar a quien lo usara a cualquier lugar en un instante. El muchacho los engañó astutamente pidiéndoles probar el sombrero y, en un parpadeo, deseó estar en las puertas del Castillo del Sol. Al llegar, se encontró en un palacio real de muros dorados, pero todo estaba cubierto por un silencio sepulcral. Recorrió los salones hasta encontrar a la princesa, quien debido al embrujo lucía demacrada y vieja. Ella le explicó que para devolverle su belleza y romper el hechizo de su madre, debía conseguir la bola de cristal que pertenecía al espíritu del gran buey salvaje del bosque.

El valiente joven aceptó el desafío real. Se enfrentó al buey y, con la ayuda de sus hermanos (el águila que atrapó un huevo mágico en el aire y la ballena que recuperó la bola del fondo del mar), logró conseguir la esfera mística. Al presentarse ante el soberano del castillo con la bola de cristal en la mano, el poder de la vieja bruja se desvaneció por completo. Sus hermanos recuperaron sus formas humanas, la princesa recuperó su deslumbrante belleza juvenil y el palacio real recuperó todo su esplendor. El joven se casó con la princesa en el trono real y vivieron felices en su castillo."
dayan_garcia_0009,Las doce princesas bailarinas,Hermanos Grimm,princesas_y_castillos,es,367,Rincon Castellano,dayan_garcia,b3eeec872237ab27b5f9b45b42a63321032d673b,"Un viejo rey, sintiendo que la muerte se acercaba, llamó a su sirviente más leal, a quien todos llamaban el fiel Juan, y le encomendó cuidar a su joven hijo cuando heredara el trono. Le pidió que le mostrara todo el palacio real, excepto una habitación secreta al final del pasillo que albergaba el retrato de la hermosa Princesa de la Torre de Oro, pues verla haría que el joven monarca cayera en una obsesión peligrosa. Tras la muerte del anciano rey, el joven heredero insistió tanto en ver lo que ocultaba la puerta prohibida que el fiel Juan no tuvo más remedio que abrirla. En cuanto el joven vio la pintura de la princesa, cayó desmayado y juró que no descansaría hasta encontrarla.

El fiel Juan ideó un plan inteligente: cargaron un barco con las vajillas y objetos de oro más hermosos del tesoro real y navegaron hacia el reino de la princesa. Haciéndose pasar por mercaderes, el fiel Juan logró que la princesa subiera a bordo para ver las maravillas. En ese momento, levaron anclas y zarparon a toda velocidad. Durante el viaje de regreso al castillo, el fiel Juan escuchó a tres cuervos profetizar tres peligros: un caballo blanco que llevaría al rey a la muerte, un traje de bodas de azufre que lo quemaría y, finalmente, que la reina caería como muerta durante el baile y quien revelara estas advertencias se convertiría en piedra.

Dispuesto a salvar a su señor a cualquier precio, el fiel Juan mató al caballo blanco y quemó el traje real en el palacio real, ganándose la desconfianza de la corte. Durante el baile en el castillo, cuando la princesa se desmayó, el fiel Juan la rescató extrayendo tres gotas de sangre de su hombro. El joven rey, malinterpretando la acción, lo condenó a muerte. Justo antes de ser ejecutado, el fiel Juan explicó la verdad de las profecías y, al instante, se transformó en una estatua de piedra. Llenos de remordimiento, los reyes colocaron la estatua en el gran salón del castillo. Años después, tras demostrar un sacrificio de amor puro, la estatua cobró vida y el fiel Juan volvió a proteger el reino con su lealtad eterna."
dayan_garcia_0010,El rey pico de loro,Hermanos Grimm,princesas_y_castillos,es,351,Rincon Castellano,dayan_garcia,cf12a1664af7d4a784aae383ebbf5e26a4b2cb07,"El hijo de un comerciante que lo había perdido todo debido a las tormentas en el mar caminaba triste por la playa cuando se encontró con un hombrecillo negro que le prometió riqueza infinita a cambio de lo primero que rozara la pierna del comerciante al volver a casa. Pensando que sería su perro, el hombre aceptó, pero al llegar a su hogar descubrió con horror que fue su pequeño hijo quien corrió a abrazarlo. Al cumplir los doce años, el joven, protegido por la bendición de un sabio, fue llevado a la playa. El hombrecillo negro no pudo tocarlo y el joven subió a un barco mágico que lo llevó a través de olas gigantescas hasta las costas de un reino lejano y misterioso.

Al desembarcar, caminó hasta un magnífico castillo encantado que parecía estar completamente deshabitado. Al entrar al palacio real, una serpiente blanca se le acercó y le habló con voz humana, revelando que era una princesa maldita. Le dijo que si pasaba tres noches soportando los tormentos de unos espíritus oscuros sin emitir una sola queja, el hechizo se rompería. El joven resistió con valentía las tres noches de dolor en el castillo. Al amanecer del cuarto día, la serpiente se transformó en la joven más hermosa del mundo y los soldados reales despertaron de su letargo. El joven fue coronado como el Rey de la Montaña de Oro en el palacio real.

Años después, nostálgico, el nuevo rey usó un anillo mágico para visitar a su padre, pero rompió la promesa de no llevarlo al palacio de su infancia. Su esposa, sintiéndose traicionada por su imprudencia, le robó el anillo mágico y regresó a su castillo dejándolo varado. El joven monarca caminó durante meses y encontró a unos gigantes disputando tres objetos mágicos: una capa de invisibilidad, unas botas que recorren leguas en segundos y una espada que corta cualquier cabeza. El rey les quitó los artefactos, se teletransportó a su palacio real de la montaña de oro, recuperó su trono por la fuerza frente a los nobles traidores y gobernó con justicia en su castillo."
