id,archivo,tematica,estilo,ancho,alto,descripcion,fuente,recolector,hash_imagen
axel_mendoza_img_0001,img_001.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plan estilo caricatura,Wikimedia Commons,axel_mendoza,5c584901ce43b45526c570197ed0a813e88c3478
axel_mendoza_img_0002,img_002.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,b1b0fc4d073d2397f1deacddce50c007e6b4e4b7
axel_mendoza_img_0003,img_003.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,2f0b2e8d5e65333766711570ce3fb6d8bc3be96e
axel_mendoza_img_0004,img_004.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,4fdcb50ff5e4b1eed9be5b17c332551aa3790f50
axel_mendoza_img_0005,img_005.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,5028ce8d413db98d2ffc49276e02e62b42edf76d
axel_mendoza_img_0006,img_006.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,7f568cee1df63e2c135b37bef64810ab76a37a5e
axel_mendoza_img_0007,img_007.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,822cc0db17c575e9afbcba1b83b75f41892742c3
axel_mendoza_img_0008,img_008.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,bde5dd197bfb53c147be7ddc4bbc05c38a231aed
axel_mendoza_img_0009,img_009.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,36acfd6adce091fd754482744e914a95d35269c4
axel_mendoza_img_0010,img_010.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,7851d7af7bc02844ed2b1103a075feb891690a63
axel_mendoza_img_0011,img_011.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,1748226287b4e730d09966c9065e370d67eeb5fe
axel_mendoza_img_0012,img_012.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,833820c3c7d9a8432546ff204dcd603aee53d576
axel_mendoza_img_0013,img_013.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,d75a015d47133b6572378e4e0c43b1e92c1bdf99
axel_mendoza_img_0014,img_014.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,181e6911b612d9482be2711f979f8177a51e45aa
axel_mendoza_img_0015,img_015.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,b619f4e078574f4e3e1f8c90284bf294763418de
axel_mendoza_img_0016,img_016.png,robots_y_tecnologia,ilustracion_plana_color,64,64,img ilustración plana estilo caricatura,Wikimedia Commons,axel_mendoza,958efc88418ccd5de28277be06437a430752b529
